Gene	Degree	Status	logFC	isTop10	isKeyGene
FGF10	14	Downregulated	-0.568522034664058	Yes	No
KRT16	12	Upregulated	0.689365044817129	Yes	No
AGTR2	12	Downregulated	-0.673530834180948	Yes	No
KRT6B	11	Upregulated	0.592378777847222	Yes	No
CALML3	11	Upregulated	0.52431531351562	Yes	No
CSF3	10	Downregulated	-0.510846996216319	Yes	No
KRT6A	10	Upregulated	0.649669974226625	Yes	No
SPRR1B	9	Upregulated	0.64939278294912	Yes	No
GRIA1	9	Downregulated	-0.692321582450838	Yes	No
RETN	8	Downregulated	-0.613103749051326	Yes	No
FABP4	8	Downregulated	-0.623137975639006	No	No
SLC6A4	8	Downregulated	-0.800161545493769	No	No
NMU	8	Upregulated	0.569955068753859	No	No
IHH	8	Downregulated	-0.661354635477425	No	No
MMP3	8	Upregulated	0.530045106936655	No	No
SPRR3	8	Upregulated	0.555403935765008	No	No
SERPINB4	8	Upregulated	0.557582901689933	No	No
LHX2	8	Upregulated	0.588216668974573	No	No
CHRM2	8	Downregulated	-0.756988467212595	No	No
GNGT1	7	Upregulated	0.745253407241018	No	No
MMP13	7	Upregulated	0.632704363356139	No	Yes
SLC4A1	7	Downregulated	-0.524991984362535	No	No
SFTPC	7	Downregulated	-0.7344027613521	No	No
MMP1	7	Upregulated	0.503005022779218	No	No
EDN3	7	Downregulated	-0.660852488530175	No	No
KRT6C	6	Upregulated	0.596362424947531	No	No
DSG3	6	Upregulated	0.593686483934303	No	No
PF4	6	Downregulated	-0.520736185922293	No	No
GP9	6	Downregulated	-0.601931804898084	No	No
CHRM1	6	Downregulated	-0.77206387646708	No	No
ADH1B	6	Downregulated	-0.536881334996115	No	No
AGER	6	Downregulated	-0.565866247753063	No	No
ZIC2	6	Upregulated	0.726660666869636	No	No
COL11A1	6	Upregulated	0.629611717855328	No	Yes
NPSR1	6	Upregulated	0.537913768304905	No	No
TFAP2A	6	Upregulated	0.515926286902324	No	No
IBSP	5	Upregulated	0.559097753217643	No	No
KISS1R	5	Upregulated	0.612556013441422	No	No
KRT75	5	Upregulated	0.518036564749376	No	No
GAL	5	Upregulated	0.613194386486599	No	No
SCGB1A1	5	Downregulated	-0.623115576526445	No	No
AGRP	5	Downregulated	-0.603456882612789	No	No
HHIP	5	Downregulated	-0.546280953332489	No	No
CLDN18	5	Downregulated	-0.690248905849171	No	No
CAV3	5	Downregulated	-0.677668462923465	No	No
HTR3A	5	Upregulated	0.524937327140441	No	No
GYPE	5	Downregulated	-0.532087084127918	No	No
CACNA1S	5	Downregulated	-0.621369800667688	No	No
PCDH15	5	Downregulated	-0.612034248584348	No	No
FAM216B	5	Downregulated	-0.504907058787055	No	No
ALAS2	5	Downregulated	-0.559507808708301	No	No
PGC	5	Downregulated	-0.544847153994947	No	No
CPB2	4	Downregulated	-0.727242324624854	No	No
APOH	4	Downregulated	-0.537580997747805	No	No
SSTR4	4	Downregulated	-0.546879878392836	No	No
IL36G	4	Upregulated	0.635291287819622	No	No
CHRNB4	4	Upregulated	0.586115869515299	No	No
GPM6A	4	Downregulated	-0.719327523731724	No	No
TMPRSS11D	4	Upregulated	0.532570546580455	No	No
WIF1	4	Downregulated	-0.593006384005177	No	No
GRHL3	4	Upregulated	0.556426494719307	No	No
PPBP	4	Downregulated	-0.613678245017033	No	No
HOXC10	4	Upregulated	0.644723768712391	No	No
TERT	4	Upregulated	0.707836100740596	No	No
HBA1	4	Downregulated	-0.708667265728277	No	No
ITLN1	4	Downregulated	-0.594780822754166	No	No
CENPA	4	Upregulated	0.507951914793291	No	No
AKR1B10	4	Upregulated	0.721171282846703	No	No
ADRA1A	4	Downregulated	-0.756193017471048	No	No
CHRNA2	4	Downregulated	-0.667309911058624	No	No
F11	4	Downregulated	-0.757466457812134	No	No
MMP12	4	Upregulated	0.540141675763611	No	No
KLK6	4	Upregulated	0.563183663351828	No	No
SBSN	4	Upregulated	0.517408877592615	No	No
MYOC	3	Downregulated	-0.828320160855082	No	No
MMP11	3	Upregulated	0.516344572414545	No	No
CYP24A1	3	Upregulated	0.537986902091353	No	No
