Gene	Degree	Betweenness	Closeness	PageRank	Status	logFC	Rank	isTop10	isKeyGene
FGF10	11	2888.64	0.0014	0.015138	Downregulated	-0.5685	1	Yes	No
KRT16	10	1468.18	0.0012	0.010967	Upregulated	0.6894	2	Yes	No
KRT6A	10	992.8	0.0011	0.011238	Upregulated	0.6497	3	Yes	No
SLC6A4	9	2335.3	0.0013	0.0116	Downregulated	-0.8002	4	Yes	No
SPRR1B	9	738.76	0.0012	0.009899	Upregulated	0.6494	5	Yes	No
SYT4	8	2344.39	0.0013	0.010496	Downregulated	-0.5323	6	Yes	No
GPM6A	8	1069.15	0.0013	0.010546	Downregulated	-0.7193	7	Yes	No
AQP4	8	875.04	0.0013	0.010659	Downregulated	-0.5009	8	Yes	No
CHRM2	8	766.58	0.0013	0.009528	Downregulated	-0.757	9	Yes	No
GRIA1	8	3947.39	0.0014	0.010321	Downregulated	-0.6923	10	Yes	No
KRT6B	7	89.87	0.0011	0.007341	Upregulated	0.5924	11	No	No
IHH	7	2066.31	0.0013	0.009558	Downregulated	-0.6614	12	No	No
MMP3	7	1234.43	0.0011	0.009733	Upregulated	0.53	13	No	No
GNGT1	6	1174.98	0.0012	0.00775	Upregulated	0.7453	14	No	No
MMP13	6	1192.84	0.0012	0.007793	Upregulated	0.6327	15	No	Yes
SCGB1A1	6	960.3	0.0013	0.007273	Downregulated	-0.6231	16	No	No
CHRM1	6	250.5	0.0012	0.007146	Downregulated	-0.7721	17	No	No
ALAS2	6	613.45	0.001	0.008181	Downregulated	-0.5595	18	No	No
SFTPC	6	465.1	0.0013	0.007524	Downregulated	-0.7344	19	No	No
IL36RN	6	456.96	0.0011	0.008263	Upregulated	0.7316	20	No	No
CPB2	5	535.78	0.001	0.006419	Downregulated	-0.7272	21	No	No
KRT6C	5	49.07	0.0011	0.005386	Upregulated	0.5964	22	No	No
FABP4	5	571.1	0.0011	0.007926	Downregulated	-0.6231	23	No	No
SLC4A1	5	608.9	0.001	0.006872	Downregulated	-0.525	24	No	No
NR0B2	5	1392.58	0.0012	0.006566	Downregulated	-0.5278	25	No	No
ADCY8	5	1477.58	0.0013	0.007905	Downregulated	-0.722	26	No	No
ADH1B	5	715.17	0.0012	0.007277	Downregulated	-0.5369	27	No	No
CAV3	5	368.91	0.001	0.008474	Downregulated	-0.6777	28	No	No
