Gene	Status	logFC
AGER	Downregulated	-0.565866247753063
SLC6A4	Downregulated	-0.800161545493769
CD300LG	Downregulated	-0.883187730983424
FAM107A	Downregulated	-0.509333716740013
C10orf67-AS1	Downregulated	-0.875823607912416
GPD1	Downregulated	-0.545381870122474
CLEC3B	Downregulated	-0.508805183508468
GPM6A	Downregulated	-0.719327523731724
RS1	Downregulated	-0.880022086471698
ITLN2	Downregulated	-0.821958925171051
SCUBE1	Downregulated	-0.513141942580903
GPIHBP1	Downregulated	-0.562777238363299
ADAMTS7P3	Downregulated	-0.660204715149127
MCEMP1	Downregulated	-0.579530034752622
FABP4	Downregulated	-0.623137975639006
LINC02016	Downregulated	-0.91397818028691
SERTM1	Downregulated	-0.892377385218231
CA4	Downregulated	-0.733742954620998
ADAMTS8	Downregulated	-0.562897343218908
CLDN18	Downregulated	-0.690248905849171
TNNC1	Downregulated	-0.536861629999215
VEGFD	Downregulated	-0.586334177335846
TMEM100	Downregulated	-0.556577494812933
ANKRD1	Downregulated	-0.673400865763072
MYOC	Downregulated	-0.828320160855082
ANGPT4	Downregulated	-0.643551088290018
GRIA1	Downregulated	-0.692321582450838
CNTN6	Downregulated	-0.718974684607965
GDF10	Downregulated	-0.589837758429733
LINC00968	Downregulated	-0.564264597209931
CPB2	Downregulated	-0.727242324624854
CTXND1	Downregulated	-0.581565626888248
GPA33	Downregulated	-0.593829992344122
UPK3B	Downregulated	-0.511285346596541
FREM3	Downregulated	-0.739944551261287
HBA2	Downregulated	-0.502870407010579
LNCEGFL7OS	Downregulated	-0.576070004169524
CD5L	Downregulated	-0.754414877457013
GKN2	Downregulated	-0.787098459638115
RSPO1	Downregulated	-0.589219422251137
C13orf46	Downregulated	-0.56392640259099
GYPE	Downregulated	-0.532087084127918
CYP1A2	Downregulated	-0.7961519339725
TAS2R2	Upregulated	0.509562009577641
ANGPTL7	Downregulated	-0.711094179536077
CCDC141	Downregulated	-0.500832120034536
ADRA1A	Downregulated	-0.756193017471048
F11	Downregulated	-0.757466457812134
CHRM2	Downregulated	-0.756988467212595
RETN	Downregulated	-0.613103749051326
CHRM1	Downregulated	-0.77206387646708
LINC02997	Downregulated	-0.56683886277413
LGI3	Downregulated	-0.63519046124431
ARHGEF4-AS1	Upregulated	0.720223091207165
AGRP	Downregulated	-0.603456882612789
MS4A15	Downregulated	-0.633196232457571
C10orf67	Downregulated	-0.640173555518954
